Day	Environment	Os	Campaign ID	Campaign Optimization	Campaign Type	Context IDs Eligible	Number of displays	Number of clicks	Criteo Revenue	Criteo Cost
2019-10-28	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-03	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-19	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-05	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-10	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	766025	1659	567.8839825882062	347.19941264760655
2019-10-10	web	Unknown	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	197937	707	161.43430403908346	93.390639137207
2019-10-10	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	1148177	4981	855.1077500434164	474.81823080581415
2019-10-28	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-13	web	Mac OS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	109	1	0.007007993970066307	0.0032370769884437324
2019-10-13	web	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	11	0	0.0034805340468883512	0.001898767347821892
2019-10-23	web	Unknown	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-04	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-12	web	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	5	0	0.001541846975684166	0.002232712400957063
2019-10-19	web	Unknown	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-19	web	Mac OS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-10	web	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	151067	411	109.21891991912202	67.86486930369627
2019-10-25	web	Unknown	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-18	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-18	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-20	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-20	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-16	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-14	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	88	7	0.049380211131647235	0.028775211764666478
2019-11-02	app	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-20	web	Unknown	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-22	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-12	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	1119	51	0.10012554686889052	0.05096352091207794
2019-10-20	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-13	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	1877	119	0.8306608658600598	0.43570818000761047
2019-10-10	web	Mac OS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	48822	84	34.66561129596643	21.422774030467984
2019-11-06	web	Unknown	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-12	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	12	0	0.001766301020979881	0.0036063053974712284
2019-10-15	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-15	app	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-29	app	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-05	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-10	other	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	6	0	0.000449464987963438	0.00025605852705024945
2019-10-14	app	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	135	0	0.0146627090703696	0.0074631961612520595
2019-10-14	web	Mac OS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	43	3	0.014709151230752468	0.007497414029203356
2019-10-15	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	1	0.0	0.0
2019-10-27	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-14	web	Other	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	53	1	0.010939023055136204	0.005084777953103184
2019-10-29	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-28	app	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-04	web	Unknown	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-17	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-06	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-13	web	Other	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	27	0	0.008072273930534722	0.004218712960552147
2019-11-08	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-23	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-14	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	885	94	0.678101676588878	0.3522019706439405
2019-10-15	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	6	0	0.0010109490007162093	0.0005843484187485914
2019-10-12	web	Unknown	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	3	0	0.0004966869950294494	0.00024254869449939913
2019-10-12	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	140	15	0.06713524371571838	0.03426940419245511
2019-11-05	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-10	other	Other	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	4	0	0.0037420009970664976	0.002066758107419531
2019-10-14	web	Unknown	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	63	2	0.027659260973334314	0.01275516439760023
2019-10-17	web	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-31	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-24	web	Unknown	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-02	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-12	web	Other	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-27	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-07	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-31	app	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-04	app	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-17	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-03	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-03	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-01	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-04	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-12	app	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	179	4	0.011663508035242558	0.007328001796187442
2019-10-11	web	Other	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	8569	4	23.25409460986965	12.566233960987956
2019-10-11	app	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	43761	245	20.768264002982527	11.387115070059991
2019-11-01	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-16	app	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-26	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-05	app	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-11	web	Unknown	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	37337	201	25.1604806839656	14.236807091509283
2019-10-11	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	96198	759	85.65964397083596	48.51825195626254
2019-11-08	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-27	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-24	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-18	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-30	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-18	web	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-13	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	306	6	0.11402315048500894	0.06288211627507766
2019-10-10	web	Other	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	62691	24	138.11803900090973	75.06754159645082
2019-10-17	app	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-17	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-11	web	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	12535	79	8.476260496966542	5.265279935474041
2019-10-11	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	47883	364	32.736879762893665	20.06251902344966
2019-10-25	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-14	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	1525	23	0.19070112686417998	0.10187173610054398
2019-11-09	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-14	web	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	4	1	0.0033654750287532807	0.001909880197642326
2019-11-02	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-25	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-06	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-03	app	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-22	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-20	app	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-26	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-13	app	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	4846	43	0.4465032368209214	0.22804092250311098
2019-10-13	web	Unknown	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	48	1	0.019917605174705387	0.011150123375807354
2019-10-30	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-30	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-24	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-29	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-04	web	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-07	app	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-10	app	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	414140	2124	292.2163248747029	161.84690376651955
2019-10-23	app	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-07	web	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-15	web	Unknown	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-24	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-01	app	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-17	web	Unknown	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-16	web	Android	181696	Install Optimization	APP INSTALL	2-10	18546	295	19.52761774815619	10.507066374537361
2019-10-11	web	Unknown	181696	Install Optimization	APP INSTALL	2-10	58	1	0.0563082149773836	0.029814950790398496
2019-10-12	web	Android	181696	Install Optimization	APP INSTALL	2-10	20884	337	23.707286347886548	12.99812405086655
2019-10-27	web	Android	181696	Install Optimization	APP INSTALL	2-10	18835	291	23.07019982021302	12.052885837607205
2019-10-23	web	iOS	181696	Install Optimization	APP INSTALL	2-10	7	0	0.0014973919838666917	0.00012486968357090433
2019-10-23	web	Other	181696	Install Optimization	APP INSTALL	2-10	58	0	0.17968832808732985	0.09060813966929014
2019-10-25	web	Unknown	181696	Install Optimization	APP INSTALL	2-10	1	2	8.803900331258774e-05	9.999999776482582e-06
2019-10-08	web	iOS	181696	Install Optimization	APP INSTALL	2-10	9	0	0.0	0.0
2019-10-12	web	Unknown	181696	Install Optimization	APP INSTALL	2-10	1	1	0.0006442480087280273	2.9999999329447747e-05
2019-10-26	web	Other	181696	Install Optimization	APP INSTALL	2-10	45	0	0.12350701916217803	0.0638491082229623
2019-10-21	web	iOS	181696	Install Optimization	APP INSTALL	2-10	2	0	0.0005737119913101197	0.0
2019-10-14	web	iOS	181696	Install Optimization	APP INSTALL	2-10	1	0	0.00019755800068378449	0.00010973022280624593
2019-10-17	web	iOS	181696	Install Optimization	APP INSTALL	2-10	3	2	0.000394894003868103	9.999999776482581e-05
2019-10-11	app	Android	181696	Install Optimization	APP INSTALL	2-10	64380	589	40.502927973189394	23.746097053260293
2019-11-22	web	Android	181696	Install Optimization	APP INSTALL	2-10	0	2	0.5400000214576721	0.0
2019-11-24	app	Android	181696	Install Optimization	APP INSTALL	2-10	0	0	0.0	0.0
2019-10-29	app	Android	181696	Install Optimization	APP INSTALL	2-10	2	0	0.007894544839859009	0.004342000007629394
2019-10-08	web	Mac OS	181696	Install Optimization	APP INSTALL	2-10	2	0	0.0	0.0
2019-10-15	web	Other	181696	Install Optimization	APP INSTALL	2-10	27	0	0.0649825693666935	0.03451120286539477
2019-10-28	app	Android	181696	Install Optimization	APP INSTALL	2-10	10211	143	9.835658558363093	5.5072076021571075
2019-10-24	web	Android	181696	Install Optimization	APP INSTALL	2-10	16426	267	18.990702550197014	9.903098692139855
2019-10-22	web	Windows	181696	Install Optimization	APP INSTALL	2-10	2	0	0.00018941999971866608	0.0009236396888673824
2019-10-07	web	Android	181696	Install Optimization	APP INSTALL	2-10	22401	315	24.940651717483064	13.732277504543665
2019-10-10	web	Android	181696	Install Optimization	APP INSTALL	2-10	11638	208	13.439537651211953	7.494558431963968
2019-10-25	app	Android	181696	Install Optimization	APP INSTALL	2-10	49293	581	36.716147427335386	21.704414183688325
2019-11-11	app	Android	181696	Install Optimization	APP INSTALL	2-10	0	0	0.0	0.0
2019-10-10	web	Other	181696	Install Optimization	APP INSTALL	2-10	11	0	0.024710457384586337	0.01308641968713158
2019-10-23	web	Android	181696	Install Optimization	APP INSTALL	2-10	19228	334	22.08861502742209	11.55735125283367
2019-10-07	web	Other	181696	Install Optimization	APP INSTALL	2-10	73	0	0.07741625654697419	0.03848559678173196
2019-10-18	web	Windows	181696	Install Optimization	APP INSTALL	2-10	1	0	0.0007550370097160339	9.144947212146852e-06
2019-10-25	web	Other	181696	Install Optimization	APP INSTALL	2-10	80	0	0.24286395633220673	0.12725285829394503
2019-10-13	app	Android	181696	Install Optimization	APP INSTALL	2-10	46399	501	32.44712638496795	18.776294073988687
2019-11-05	app	Android	181696	Install Optimization	APP INSTALL	2-10	0	0	0.0	0.0
2019-10-14	web	Android	181696	Install Optimization	APP INSTALL	2-10	17919	269	20.62477152236458	10.78504600901581
2019-10-19	app	Android	181696	Install Optimization	APP INSTALL	2-10	58646	676	38.15872640531977	21.97735579409943
2019-10-22	web	Android	181696	Install Optimization	APP INSTALL	2-10	14918	240	16.972764919918966	9.001429761856151
2019-10-09	app	Android	181696	Install Optimization	APP INSTALL	2-10	80674	530	44.59083934065885	26.323675893073922
2019-10-16	web	Other	181696	Install Optimization	APP INSTALL	2-10	44	0	0.11415909807384016	0.05407133049816643
2019-10-18	app	Android	181696	Install Optimization	APP INSTALL	2-10	43452	542	31.69479612599592	17.996155170566215
2019-10-15	web	Windows	181696	Install Optimization	APP INSTALL	2-10	1	0	0.00023026500642299653	0.00012999999523162842
2019-10-13	web	Other	181696	Install Optimization	APP INSTALL	2-10	19	0	0.044061880439519883	0.022006401581801286
2019-10-20	web	iOS	181696	Install Optimization	APP INSTALL	2-10	2	2	0.0009272900223731994	0.002
2019-11-15	app	Android	181696	Install Optimization	APP INSTALL	2-10	0	0	0.0	0.0
2019-10-21	web	Android	181696	Install Optimization	APP INSTALL	2-10	24265	420	26.766746827969335	13.875080401037865
2019-10-15	app	Android	181696	Install Optimization	APP INSTALL	2-10	42305	489	30.295956025515686	17.171344871252916
2019-10-23	app	Android	181696	Install Optimization	APP INSTALL	2-10	60528	716	40.92210149102192	24.168124126890074
2019-10-07	app	Android	181696	Install Optimization	APP INSTALL	2-10	107604	620	57.01571730403695	34.15166882929697
2019-11-06	app	Android	181696	Install Optimization	APP INSTALL	2-10	0	0	0.0	0.0
2019-10-21	app	Android	181696	Install Optimization	APP INSTALL	2-10	71402	662	42.07093280698917	24.273329474440683
2019-10-26	web	Android	181696	Install Optimization	APP INSTALL	2-10	17645	316	22.055744989292698	11.54854245360729
2019-10-28	web	Android	181696	Install Optimization	APP INSTALL	2-10	6548	116	8.71133809289336	4.2116700782969545
2019-11-01	app	Android	181696	Install Optimization	APP INSTALL	2-10	0	0	0.0	0.0
2019-10-08	app	Android	181696	Install Optimization	APP INSTALL	2-10	38801	279	21.97508390141465	13.329779586593581
2019-10-24	app	Android	181696	Install Optimization	APP INSTALL	2-10	46515	558	33.91447536672279	19.891831698176297
2019-10-09	web	Other	181696	Install Optimization	APP INSTALL	2-10	12	0	0.03314025950431823	0.017949702576736254
2019-10-18	web	Other	181696	Install Optimization	APP INSTALL	2-10	22	0	0.08789783009886741	0.04867855456385593
2019-10-07	web	Unknown	181696	Install Optimization	APP INSTALL	2-10	10	2	0.0	0.0
2019-10-21	web	Other	181696	Install Optimization	APP INSTALL	2-10	10	0	0.016450758993625636	0.009220850456780259
2019-10-12	web	Other	181696	Install Optimization	APP INSTALL	2-10	28	0	0.11005027905106544	0.059144033135264555
2019-10-08	web	Android	181696	Install Optimization	APP INSTALL	2-10	10603	180	11.883126497264948	6.636473834631088
2019-10-16	app	Android	181696	Install Optimization	APP INSTALL	2-10	60943	586	37.044195148050775	21.13463783879193
2019-10-24	web	Other	181696	Install Optimization	APP INSTALL	2-10	45	0	0.11440164967626332	0.05950251482614494
2019-10-18	web	Android	181696	Install Optimization	APP INSTALL	2-10	19576	360	24.425196981985124	13.086603980174182
2019-10-18	web	Unknown	181696	Install Optimization	APP INSTALL	2-10	2	0	0.0009747240245342254	0.0004480000026524067
2019-10-11	web	Other	181696	Install Optimization	APP INSTALL	2-10	31	0	0.06710871981829405	0.03495290349431381
2019-10-17	web	Other	181696	Install Optimization	APP INSTALL	2-10	43	0	0.11201833403110506	0.05988020100002698
2019-10-07	web	Mac OS	181696	Install Optimization	APP INSTALL	2-10	3	0	0.0	0.0
2019-10-08	web	Other	181696	Install Optimization	APP INSTALL	2-10	25	0	0.007951371967792512	0.0041115684600851014
2019-10-26	app	Android	181696	Install Optimization	APP INSTALL	2-10	39275	577	30.792199371380732	18.190759625282134
2019-10-19	web	Android	181696	Install Optimization	APP INSTALL	2-10	17852	336	22.730025747666136	12.046851557983867
2019-10-11	web	Android	181696	Install Optimization	APP INSTALL	2-10	16004	250	18.48541657204553	10.103789112958577
2019-10-14	web	Other	181696	Install Optimization	APP INSTALL	2-10	30	0	0.07750118440389633	0.04035756742785279
2019-10-27	app	Android	181696	Install Optimization	APP INSTALL	2-10	38647	600	30.53562506232224	18.105636432600527
2019-10-22	web	iOS	181696	Install Optimization	APP INSTALL	2-10	3	0	0.0002943900004029274	0.0018789894840555291
2019-10-17	app	Android	181696	Install Optimization	APP INSTALL	2-10	55914	693	36.460843281760816	20.805095694479295
2019-11-16	app	Android	181696	Install Optimization	APP INSTALL	2-10	0	0	0.0	0.0
2019-11-14	app	Android	181696	Install Optimization	APP INSTALL	2-10	0	0	0.0	0.0
2019-10-28	web	Unknown	181696	Install Optimization	APP INSTALL	2-10	1	0	0.0010181820392608642	0.0005600000023841858
2019-10-10	web	iOS	181696	Install Optimization	APP INSTALL	2-10	1	1	0.0006485900282859802	9.999999776482582e-06
2019-10-20	web	Other	181696	Install Optimization	APP INSTALL	2-10	16	0	0.05876248228549957	0.032626428885387956
2019-10-10	app	Android	181696	Install Optimization	APP INSTALL	2-10	36128	310	21.78165748984646	12.849867309110108
2019-10-25	web	Android	181696	Install Optimization	APP INSTALL	2-10	22975	395	27.734402645749043	14.484473024005924
2019-10-13	web	Android	181696	Install Optimization	APP INSTALL	2-10	10581	178	12.952863809530623	6.250521464013414
2019-10-16	web	Windows	181696	Install Optimization	APP INSTALL	2-10	1	1	0.00014711199700832367	9.999999776482582e-06
2019-10-24	web	Windows	181696	Install Optimization	APP INSTALL	2-10	2	0	0.0016884560585021973	0.0009510562907194079
2019-10-22	web	Other	181696	Install Optimization	APP INSTALL	2-10	26	0	0.11311700771749021	0.06186739828524439
2019-10-07	web	Windows	181696	Install Optimization	APP INSTALL	2-10	37	2	0.000788008987903595	1.8747142721759604e-05
2019-10-31	app	Android	181696	Install Optimization	APP INSTALL	2-10	0	0	0.0	0.0
2019-10-08	web	Windows	181696	Install Optimization	APP INSTALL	2-10	23	1	0.0	0.0
2019-10-28	web	Other	181696	Install Optimization	APP INSTALL	2-10	22	0	0.09634076088666915	0.052780063690853606
2019-10-14	app	Android	181696	Install Optimization	APP INSTALL	2-10	71349	654	45.64477807023563	26.10564534476956
2019-10-12	app	Android	181696	Install Optimization	APP INSTALL	2-10	85740	767	51.54437194971647	30.327535676563596
2019-10-27	web	Other	181696	Install Optimization	APP INSTALL	2-10	31	0	0.0671178247332573	0.03738088677558498
2019-10-15	web	Android	181696	Install Optimization	APP INSTALL	2-10	14885	276	16.63347891456354	8.912459721662042
2019-10-09	web	Android	181696	Install Optimization	APP INSTALL	2-10	22223	313	24.47441384459008	13.455580060656235
2019-10-24	web	iOS	181696	Install Optimization	APP INSTALL	2-10	3	1	0.002156701050698757	0.0009336396886438649
2019-10-18	web	iOS	181696	Install Optimization	APP INSTALL	2-10	6	0	0.004073702067136765	0.0003157247467895703
2019-10-09	web	iOS	181696	Install Optimization	APP INSTALL	2-10	3	0	0.00040256500244140625	0.0027434842249657067
2019-10-19	web	Other	181696	Install Optimization	APP INSTALL	2-10	32	0	0.10791636016964912	0.05968724277720476
2019-10-30	app	Android	181696	Install Optimization	APP INSTALL	2-10	0	0	0.0	0.0
2019-10-22	app	Android	181696	Install Optimization	APP INSTALL	2-10	43737	485	27.869579634867602	16.118069873561552
2019-10-20	app	Android	181696	Install Optimization	APP INSTALL	2-10	46290	528	31.95973755825311	18.295355829342313
2019-10-23	web	Unknown	181696	Install Optimization	APP INSTALL	2-10	1	1	0.0006060609817504883	0.00044999998807907106
2019-10-24	web	Unknown	181696	Install Optimization	APP INSTALL	2-10	1	0	0.00023160000145435334	0.0001528560072183609
2019-10-08	web	Unknown	181696	Install Optimization	APP INSTALL	2-10	1	0	0.0	0.0
2019-10-28	web	iOS	181696	Install Optimization	APP INSTALL	2-10	3	0	0.0007919540256261826	2.7434841636440556e-05
